hbzId,subject,title,otherTitleInformation,corporateBodyForTitle
HT019066128,NULL,Electron acceleration by coherent laser pulses in periodic structures,NULL,NULL
HT013273632,NULL,"2000 Jahre Schlosserhandwerk, 125 Jahre Kerschgens Stahlhandel",24.3. - 4.6.2001 ; Sonderausstellung im Industriemuseum Zinkhütter Hof,NULL
HT013273696,NULL,Introduction à la géographie,NULL,NULL
HT014700607,NULL,Neue Medien: Interaktivität und Ubiquität,NULL,NULL
HT013724607,NULL,Gespräche IV,NULL,NULL
HT003128377,NULL,Community education,Materialien aus den Regionalen Arbeitsstellen,NULL
HT019302562,NULL,...nit so genau nehme!,NULL,NULL
HT019091379,NULL,Konzert Wiener Klassik,NULL,NULL
HT015014138,NULL,Zigeuner im Doberg,"""Glück ist nur Schein, Glück ist nur Schein, Zigeunerkind darf nicht glücklich sein""",NULL
HT014873059,NULL,Frieden - Utopie einer globalen Gesellschaft?,Verleihung des Arnold-Janssen-Preises 2004 an die Gemeinschaft Sant'Egidio ; 1. Internationale Gocher Gespräche,NULL
HT019495867,NULL,Beiträge zur Chemie der Hauptgruppenelement-Arenkomplexe mit leichten Elektrophilen der ersten Gruppe,NULL,NULL
HT019495882,NULL,Beiträge zur Chemie der Hauptgruppenelement-Arenkomplexe mit leichten Elektrophilen der ersten Gruppe,NULL,NULL
HT003895749,NULL,Dokumentation Tag der Frauenforschung,2. Juli 1988,NULL
HT007351016,NULL,Das neue Steuerungsmodell,Auswirkungen auf freie Träger in der Kinder- und Jugendarbeit ; Dokumentation der Fachtagung am 28. Oktober 1995 in der Akademie Remscheid,NULL
HT019056637,NULL,Pankreatische alpha-Zellfunktion in Abhängigkeit vom Alter des Organismus im Mausmodell,NULL,NULL
HT018472688,NULL,Electri_City,elektronische Musik aus Düsseldorf 1970-1986,NULL
HT018312741,NULL,Joseph Pape als Theologe,NULL,NULL
HT018811963,NULL,Aber die Hoffnung,Autobiographisches aus und über Deutschland,NULL
HT007000062,NULL,Jahrbuch für Rheinhausen und Umgebung,Beiträge zur Heimat- und Kulturpflege,NULL
HT015221330,NULL,Voll prekär - total normal?,die Arbeitsrealitäten wahrnehmen,NULL
HT007011811,NULL,Gruoninga,"tijdschrift voor genealogie, naam- en wapenkunde",NULL
HT016090346,NULL,Japan goes west: reflections on a diaspora,NULL,NULL
HT019043973,NULL,Michael Beutler - Haus Beutler,10. Mai - 27. Juli 2014,NULL
HT018650860,NULL,Electri_City,elektronische_Musik aus_Düsseldorf 1970-1986,NULL
HT015782115,NULL,"Barbara Hlali, Paula Müller - And l was like ...",24. Oktober - 23. November 2008 im Förderverein Aktuelle Kunst Münster ; [anlässlich der Ausstellung And l was like ...],NULL
HT015782135,NULL,Digital image not available,"Sabine Huzikiewiz, Holger Küper, Pawel Podolak, Adriane Wachholz, Yvonne Wilczynski ; 11. April - 11. Mai 2008 im Förderverein Aktuelle Kunst Münster ; [anlässlich der Ausstellung digital image not available]",NULL
HT015782162,NULL,"Lucy Teasdale, Michael Pohl - Toys are us",22. August - 21. September 2008 im Förderverein Aktuelle Kunst Münster ; [anlässlich der Ausstellung Toys Are Us],NULL
HT015014151,NULL,"Glückwunschtelegramm von ""Mr. President""",Freiheitsstatue in Soltau mit Fanfaren- und Majorettenkorps aus Südlengern eingeweiht,NULL
HT015014156,NULL,Ich war ein erfolgreicher Rennfahrer,auf dem Geflügelhof Dreesholtkamp in Südlengern lernte ich meine Frau Gisela kennen,NULL
HT015010898,NULL,Wie gern wäre ich in Pollnow geblieben,wie ich aus Pommern vertrieben wurde und in Südlengern meine neue Heimat fand,NULL
HT015011335,NULL,Pastor Schulte und die Zeit des Kirchenkampfes,"die Worte ""Blut und Ehre"" auf dem Hitlerdolch ließen ihn schaudern",NULL
HT015014326,NULL,Arbeitsordnung für Zigarrenfabriken,"das ""Bearbeiten der Cigarren mit dem Munde"" konnte zur Entlassung führen",NULL
HT015014167,NULL,Sulky mit Ruhesessel getauscht,Wilhelm Bökelmann aus Südlengern ist aktiver Trabrennsportler,NULL
HT015011362,NULL,Die AWO: Von Menschen für Menschen,die Arbeiterwohlfahrt ist seit mehr als 50 Jahren in Südlengern aktiv,NULL
HT015014177,NULL,Auf den Spuren der alten Germanen,Archäologen entdeckten in Südlengern einen frühzeitlichen Friedhof,NULL
HT015011369,NULL,Der CVJM-Posaunenchor ist für ganz Südlengern da,"""Gott loben, das ist unser Amt"" - diese Losung gilt auch heute noch",NULL
HT015014087,NULL,Dat nuigge Radio,das neue Radio,NULL
HT015014186,NULL,... ein Haus für die reifere Jugend!,in der Altentagesstätte Südlengerheide sind Frohsinn und Geselligkeit Trumpf,NULL
HT015014374,NULL,An der Kreuzung bei Bresser,"heute befindet sich der Betrieb der Firma ""Reifen Bressser"" am Elsemühlenweg",NULL
HT015014092,NULL,Eck kuüer Platt,(ich spreche Plattdeutsch),NULL
HT015014377,NULL,"""Filetstück"" Oberbehme",Kirchlengern und Hiddenhausen planen ein interkommunales Gewerbegebiet,NULL
HT015011388,NULL,Gärtnern um des Menschen willen,Gartenbauverein Südlengern fürht ein reges Vereinsleben,NULL
HT015012370,NULL,"Lobenswert, wer im Tier die Schöpfung ehrt",Züchter aus Südlengern engagieren sich im Rassegeflügelzuchtverein Kirchlengern,NULL
HT015010946,NULL,Eines jeden Ortes Pfarrer soll Schul-Visitator sein,auch Lehrer hatten sich strengen Verhaltensregeln zu unterwerfen,NULL
HT015010956,NULL,Meine Mutter war Schuldienerin in Südlengern-Dorf,oft gab es während des Krieges kurz vor Mittag Fliegeralarm,NULL
HT015012388,NULL,Die Liebe zum Tier pflegen,Kaninchenzuchtverein W 484 Kirchlengern-Südlengern,NULL
HT015014433,NULL,"""Rolladen Schröder"" ist in Südlengern ein Begriff",heute bietet der Familienbetrieb Schröder ein vielseitiges Angebotsspektrum,NULL
HT015011424,NULL,Wir in Südlengern freuen uns für das Erreichte,"Hans Körber, ein Christdemokrat der ersten Stunde aus Südlengern-Dorf, erinnert sich",NULL
HT015014112,NULL,Über die niederdeutsche Sprache,sie hat ihren Ursprung im Altsächsischen,NULL
HT019320550,NULL,Rumänien,NULL,NULL
HT015010985,NULL,Kirchliche Entwicklung und Umbruch,Christianisierung und der Sieg der Reformation in Minden-Ravensberg,NULL
HT015012404,NULL,Die Mergelgrube,der Dobergmergel war ein begehrtes Düngemittel,NULL
HT015014453,NULL,Verpackungsmaschinen aus Südlengern in alle Welt,viele unserer täglich benötigten Konsumgüter werden mit A+F-Maschinen verpackt,NULL
HT019320670,NULL,Sichtweise,NULL,NULL
HT015259434,NULL,Knast im Klosterkeller,NULL,NULL
HT015259639,NULL,Die Katakombe: Gruppenraum der Pfarrjugend Liesborn - KJG,NULL,NULL
HT015259450,NULL,Büro für Vertriebene und Flüchtlinge unter der Leitung von Georg Zwiener,NULL,NULL
HT015259660,NULL,"Eine ""abenteuerliche Geschichte""",Pläne aus den 70er Jahren für ein Restaurant im Klosterkeller,NULL
HT015259464,NULL,Das Liesborner Abteigebäude als Wohnraum,NULL,NULL
HT015259919,NULL,"Bielefeld, die Kaufmannsstadt",NULL,NULL
HT015259568,NULL,Eintauchen in die Geschichte des Meditationsraumes,NULL,NULL
HT005033534,NULL,Region als Lebensraum,Dokumentation des 7. Deutschen Architektentages in Duisburg vom 1. bis 2. Juni 1989,NULL
HT015331601,NULL,Die Geschichte des Kolpinghauses in Ahlen,Auszüge aus der von Pfarrdechant Paul Röschenbleck verfassten Festschrift zum 125-jährigen Jubiläum der Kolpingfamilie Ahlen 1981,NULL
HT015331609,NULL,Ehrenbürgerschaft für Imo Moszkowicz,NULL,NULL
HT015331626,NULL,Die Ballade einer Säule,Nachzuvollziehen beim Betrachten der Säule am Wersedamm in Ahlen,NULL
HT015331630,NULL,"Bundeswehrheraldik, dargestellt an den Wappen des Panzergrenadier Bataillons 192, Ahlen",NULL,NULL
HT015331632,NULL,Hamsterer - Mai 1945,NULL,NULL
HT015331637,NULL,"""Schreiben Sie sich das hinter die Ohren""",Redensarten und Sprichwörter aus alter Zeit,NULL
HT015331634,NULL,"""Hier kommt keiner mehr lebend heraus""",ein fünfjähriges Mädchen war das letzte Kriegsopfer 1945 in Ahlen,NULL
HT007061745,NULL,Rheindahlen-Almanach,NULL,NULL
HT015654846,NULL,Folgen des Klimawandels für die Wasserwirtschaft,Herausforderungen und Lösungen ; Dokumentation zum 20. Mülheimer Wassertechnischen Seminar vom 22.11. 2007,NULL
HT015331646,NULL,"""Gestern in Ahlen""",Hexenwahn und Hexenprozess des Peter Kleikamp,NULL
HT015335378,NULL,Skizze einer Theorie der Unterrichtsentwicklung,NULL,NULL
HT013379984,NULL,Untersuchungen zur Wasserdurchlässigkeit bindiger Böden,NULL,NULL
